G,R,X,Y,GR,UID,TR,qw,qb,X_count,Y_count,Y_count_resolve,First 200,,,,,,MW,MB,FW,FB
M,B,0.544413389,0.347754226,MB,1039,B,0,1,-0.48400333,-0.638709988,0.203329487,0,,,,,,0,1,0,0
M,W,0.41714326,0.423040357,MW,1851,W,0,0,-0.611273459,-0.639043077,0.202996398,0,,,,,,1,0,0,0
F,B,-0.55156437,-0.639532925,FB,1341,B,0,1,-0.55156437,-0.639532925,-0.639532925,0,,,,,,0,0,0,1
M,W,0.539781736,0.420455439,MW,1311,W,0,0,-0.488634983,-0.641627995,0.20041148,0,,,,,,1,0,0,0
F,W,-0.579384915,-0.535613634,FW,1792,W,0,0,-0.579384915,-0.642761868,-0.642761868,0,,,,,,0,0,1,0
F,B,-0.720218843,-0.643213336,FB,278,B,0,1,-0.720218843,-0.643213336,-0.643213336,0,,,,,,0,0,0,1
M,W,0.528380865,0.418275389,MW,55,W,0,0,-0.500035854,-0.643808046,0.198231429,1,,,,,,1,0,0,0
F,W,-0.414881763,-0.537778393,FW,541,W,0,0,-0.414881763,-0.644926627,-0.644926627,0,,,,,,0,0,1,0
M,W,0.651996788,0.416678706,MW,753,W,0,0,-0.376419931,-0.645404728,0.196634747,0,,,,,,1,0,0,0
M,W,0.408745334,0.415488389,MW,1535,W,0,0,-0.619671385,-0.646595046,0.195444429,0,,,,,,1,0,0,0
M,W,0.627559476,0.4152728,MW,992,W,0,0,-0.400857243,-0.646810635,0.195228841,0,,,,,,1,0,0,0
M,W,0.327186907,0.413745698,MW,545,W,0,0,-0.701229812,-0.648337736,0.193701739,0,,,,,,1,0,0,0
F,W,-0.567710023,-0.542128188,FW,883,W,0,0,-0.567710023,-0.649276422,-0.649276422,0,,,,,,0,0,1,0
F,B,-0.659140256,-0.652834085,FB,14,B,0,1,-0.659140256,-0.652834085,-0.652834085,1,,,,,,0,0,0,1
M,W,0.519833836,0.407428005,MW,402,W,0,0,-0.508582883,-0.654655429,0.187384046,0,,,,,,1,0,0,0
F,W,-0.392085671,-0.548651085,FW,223,W,0,0,-0.392085671,-0.655799319,-0.655799319,0,,,,,,0,0,1,0
M,W,0.558333779,0.405748993,MW,109,W,0,0,-0.47008294,-0.656334441,0.185705034,1,,,,,,1,0,0,0
M,B,0.238721138,0.325837027,MB,866,B,0,1,-0.789695581,-0.660627187,0.181412288,0,,,,,,0,1,0,0
M,W,0.616816568,0.400385798,MW,943,W,0,0,-0.411600151,-0.661697636,0.180341839,0,,,,,,1,0,0,0
M,B,0.63480926,0.324561413,MB,1270,B,0,1,-0.393607459,-0.661902802,0.180136673,0,,,,,,0,1,0,0
M,B,0.533362913,0.324098828,MB,1778,B,0,1,-0.495053806,-0.662365386,0.179674089,0,,,,,,0,1,0,0
M,B,0.616666928,0.322483731,MB,1905,B,0,1,-0.411749791,-0.663980483,0.178058992,0,,,,,,0,1,0,0
F,W,-0.746840085,-0.55817447,FW,263,W,0,0,-0.746840085,-0.665322704,-0.665322704,0,,,,,,0,0,1,0
M,W,0.736073676,0.393876377,MW,1790,W,0,0,-0.292343043,-0.668207057,0.173832418,0,,,,,,1,0,0,0
M,W,0.525241017,0.393752997,MW,1945,W,0,0,-0.503175702,-0.668330438,0.173709038,0,,,,,,1,0,0,0
F,W,-0.565685186,-0.563373923,FW,1665,W,0,0,-0.565685186,-0.670522157,-0.670522157,0,,,,,,0,0,1,0
M,W,0.745396702,0.390277194,MW,911,W,0,0,-0.283020017,-0.67180624,0.170233235,0,,,,,,1,0,0,0
M,B,0.389475532,0.314004925,MB,1227,B,0,1,-0.638941187,-0.672459289,0.169580186,0,,,,,,0,1,0,0
M,B,0.427237697,0.312316057,MB,762,B,0,1,-0.601179022,-0.674148157,0.167891318,0,,,,,,0,1,0,0
M,W,0.330431063,0.386427833,MW,510,W,0,0,-0.697985656,-0.675655601,0.166383874,0,,,,,,1,0,0,0
F,W,-0.535492446,-0.568648388,FW,527,W,0,0,-0.535492446,-0.675796622,-0.675796622,0,,,,,,0,0,1,0
F,B,-0.518385885,-0.679669539,FB,1678,B,0,1,-0.518385885,-0.679669539,-0.679669539,0,,,,,,0,0,0,1
M,W,0.58184439,0.381535705,MW,199,W,0,0,-0.446572329,-0.680547729,0.161491746,1,,,,,,1,0,0,0
M,W,0.301539986,0.377441041,MW,1765,W,0,0,-0.726876733,-0.684642394,0.157397081,0,,,,,,1,0,0,0
F,W,-0.510687997,-0.577890004,FW,1681,W,0,0,-0.510687997,-0.685038238,-0.685038238,0,,,,,,0,0,1,0
M,B,0.377388393,0.301217912,MB,626,B,0,1,-0.651028326,-0.685246302,0.156793173,0,,,,,,0,1,0,0
M,B,0.293881343,0.300078373,MB,311,B,0,1,-0.734535376,-0.686385842,0.155653634,0,,,,,,0,1,0,0
F,B,-0.525014785,-0.686486393,FB,33,B,0,1,-0.525014785,-0.686486393,-0.686486393,1,,,,,,0,0,0,1
M,W,0.67105958,0.375328275,MW,559,W,0,0,-0.357357139,-0.68675516,0.155284315,0,,,,,,1,0,0,0
M,W,0.362559264,0.374360514,MW,1761,W,0,0,-0.665857455,-0.68772292,0.154316555,0,,,,,,1,0,0,0
M,B,0.557743859,0.296883462,MB,1972,B,0,1,-0.47067286,-0.689580752,0.152458723,0,,,,,,0,1,0,0
F,B,-0.541731473,-0.691312384,FB,752,B,0,1,-0.541731473,-0.691312384,-0.691312384,0,,,,,,0,0,0,1
F,W,-0.622046305,-0.584625587,FW,1147,W,0,0,-0.622046305,-0.691773821,-0.691773821,0,,,,,,0,0,1,0
F,W,-0.560256775,-0.584667204,FW,245,W,0,0,-0.560256775,-0.691815438,-0.691815438,0,,,,,,0,0,1,0
M,B,0.342924214,0.294567152,MB,855,B,0,1,-0.685492505,-0.691897062,0.150142413,0,,,,,,0,1,0,0
F,B,-0.531534695,-0.694344201,FB,1278,B,0,1,-0.531534695,-0.694344201,-0.694344201,0,,,,,,0,0,0,1
M,W,0.374624483,0.365438401,MW,665,W,0,0,-0.653792236,-0.696645033,0.145394442,0,,,,,,1,0,0,0
F,W,-0.765404724,-0.589767402,FW,1403,W,0,0,-0.765404724,-0.696915636,-0.696915636,0,,,,,,0,0,1,0
F,W,-0.579614881,-0.590205718,FW,185,W,0,0,-0.579614881,-0.697353952,-0.697353952,1,,,,,,0,0,1,0
F,W,-0.591730571,-0.591564558,FW,1139,W,0,0,-0.591730571,-0.698712792,-0.698712792,0,,,,,,0,0,1,0
M,W,0.363949354,0.36253347,MW,26,W,0,0,-0.664467365,-0.699549965,0.142489511,1,,,,,,1,0,0,0
M,W,0.359296051,0.36103592,MW,1268,W,0,0,-0.669120668,-0.701047514,0.140991961,0,,,,,,1,0,0,0
M,W,0.270296698,0.360827705,MW,847,W,0,0,-0.758120021,-0.701255729,0.140783746,0,,,,,,1,0,0,0
M,W,0.544274012,0.35964608,MW,345,W,0,0,-0.484142707,-0.702437355,0.139602121,0,,,,,,1,0,0,0
F,B,-0.873971614,-0.703983733,FB,719,B,0,1,-0.873971614,-0.703983733,-0.703983733,0,,,,,,0,0,0,1
F,W,-0.458827162,-0.596858212,FW,709,W,0,0,-0.458827162,-0.704006446,-0.704006446,0,,,,,,0,0,1,0
M,W,0.390865393,0.357701112,MW,244,W,0,0,-0.637551326,-0.704382322,0.137657153,0,,,,,,1,0,0,0
M,W,0.333938112,0.35748941,MW,723,W,0,0,-0.694478607,-0.704594024,0.137445451,0,,,,,,1,0,0,0
M,W,0.355074242,0.35692276,MW,1817,W,0,0,-0.673342477,-0.705160675,0.1368788,0,,,,,,1,0,0,0
M,W,0.357851231,0.356584391,MW,222,W,0,0,-0.670565488,-0.705499043,0.136540432,0,,,,,,1,0,0,0
F,B,-0.4015917,-0.705961962,FB,781,B,0,1,-0.4015917,-0.705961962,-0.705961962,0,,,,,,0,0,0,1
M,W,0.296447345,0.355843739,MW,1081,W,0,0,-0.731969374,-0.706239695,0.13579978,0,,,,,,1,0,0,0
M,W,0.485283408,0.354463978,MW,419,W,0,0,-0.543133311,-0.707619456,0.134420019,0,,,,,,1,0,0,0
M,W,0.471701254,0.35432501,MW,1134,W,0,0,-0.556715464,-0.707758425,0.13428105,0,,,,,,1,0,0,0
M,B,0.129574328,0.27651702,MB,1620,B,0,1,-0.898842391,-0.709947195,0.13209228,0,,,,,,0,1,0,0
M,B,0.485834692,0.274738826,MB,106,B,0,1,-0.542582027,-0.711725388,0.130314087,1,,,,,,0,1,0,0
M,W,0.426681034,0.350202987,MW,1394,W,0,0,-0.601735685,-0.711880447,0.130159028,0,,,,,,1,0,0,0
F,B,-0.644981115,-0.712381961,FB,851,B,0,1,-0.644981115,-0.712381961,-0.712381961,0,,,,,,0,0,0,1
F,W,-0.487034225,-0.606496852,FW,1169,W,0,0,-0.487034225,-0.713645086,-0.713645086,0,,,,,,0,0,1,0
M,W,0.432771187,0.347949885,MW,71,W,0,0,-0.595645532,-0.71413355,0.127905925,1,,,,,,1,0,0,0
M,W,0.504643731,0.346581265,MW,1069,W,0,0,-0.523772988,-0.715502169,0.126537306,0,,,,,,1,0,0,0
F,B,-0.729509237,-0.716257572,FB,407,B,0,1,-0.729509237,-0.716257572,-0.716257572,0,,,,,,0,0,0,1
M,B,0.377558565,0.269553094,MB,1819,B,0,1,-0.650858154,-0.716911121,0.125128355,0,,,,,,0,1,0,0
M,W,0.558392635,0.34324866,MW,1505,W,0,0,-0.470024084,-0.718834775,0.1232047,0,,,,,,1,0,0,0
M,B,0.401172117,0.267483372,MB,971,B,0,1,-0.627244602,-0.718980842,0.123058633,0,,,,,,0,1,0,0
M,B,0.411985638,0.265015818,MB,679,B,0,1,-0.616431081,-0.721448396,0.120591079,0,,,,,,0,1,0,0
M,W,0.310865902,0.340613868,MW,35,W,0,0,-0.717550817,-0.721469567,0.120569909,1,,,,,,1,0,0,0
F,B,-0.795676723,-0.722608468,FB,799,B,0,1,-0.795676723,-0.722608468,-0.722608468,0,,,,,,0,0,0,1
M,W,0.488275311,0.339043368,MW,171,W,0,0,-0.540141408,-0.723040067,0.118999408,1,,,,,,1,0,0,0
M,B,0.199133209,0.263149906,MB,810,B,0,1,-0.82928351,-0.723314309,0.118725167,0,,,,,,0,1,0,0
M,W,0.355491,0.33860507,MW,924,W,0,0,-0.672925719,-0.723478365,0.11856111,0,,,,,,1,0,0,0
M,W,0.539175474,0.338473527,MW,1734,W,0,0,-0.489241245,-0.723609907,0.118429568,0,,,,,,1,0,0,0
M,B,0.478146622,0.259435457,MB,511,B,0,1,-0.550270097,-0.727028757,0.115010718,0,,,,,,0,1,0,0
M,W,0.248255213,0.334842602,MW,1811,W,0,0,-0.780161506,-0.727240832,0.114798643,0,,,,,,1,0,0,0
M,W,0.597171113,0.333977823,MW,747,W,0,0,-0.431245606,-0.728105611,0.113933864,0,,,,,,1,0,0,0
M,W,0.469600156,0.333910355,MW,1163,W,0,0,-0.558816563,-0.728173079,0.113866396,0,,,,,,1,0,0,0
F,W,-0.584586975,-0.621884294,FW,721,W,0,0,-0.584586975,-0.729032528,-0.729032528,0,,,,,,0,0,1,0
M,B,0.47287572,0.255836438,MB,894,B,0,1,-0.555540999,-0.730627776,0.111411699,0,,,,,,0,1,0,0
M,W,0.383696164,0.331180094,MW,1100,W,0,0,-0.644720555,-0.73090334,0.111136135,0,,,,,,1,0,0,0
M,B,0.440226955,0.25305379,MB,97,B,0,1,-0.588189764,-0.733410424,0.108629051,1,,,,,,0,1,0,0
M,W,0.450932599,0.328137843,MW,224,W,0,0,-0.57748412,-0.733945591,0.108093884,0,,,,,,1,0,0,0
M,B,0.477766963,0.251093654,MB,1886,B,0,1,-0.550649756,-0.73537056,0.106668915,0,,,,,,0,1,0,0
F,B,-0.519008218,-0.735623993,FB,1514,B,0,1,-0.519008218,-0.735623993,-0.735623993,0,,,,,,0,0,0,1
F,W,-0.425181714,-0.630617972,FW,1585,W,0,0,-0.425181714,-0.737766206,-0.737766206,0,,,,,,0,0,1,0
F,W,-0.838425906,-0.63127113,FW,524,W,0,0,-0.838425906,-0.738419364,-0.738419364,0,,,,,,0,0,1,0
M,B,0.578987395,0.24536907,MB,1140,B,0,1,-0.449429324,-0.741095144,0.100944331,0,,,,,,0,1,0,0
F,B,-0.446151087,-0.741668964,FB,596,B,0,1,-0.446151087,-0.741668964,-0.741668964,0,,,,,,0,0,0,1
F,W,-0.496586637,-0.634765102,FW,85,W,0,0,-0.496586637,-0.741913336,-0.741913336,1,,,,,,0,0,1,0
M,W,0.475052011,0.319935533,MW,113,W,0,0,-0.553364708,-0.742147901,0.099891574,1,,,,,,1,0,0,0
F,B,-0.797872516,-0.742343022,FB,551,B,0,1,-0.797872516,-0.742343022,-0.742343022,0,,,,,,0,0,0,1
M,B,0.59321315,0.242475938,MB,1433,B,0,1,-0.435203569,-0.743988276,0.098051199,0,,,,,,0,1,0,0
M,B,0.308173376,0.241828533,MB,136,B,0,1,-0.720243343,-0.744635681,0.097403794,1,,,,,,0,1,0,0
M,B,0.500019192,0.239574802,MB,140,B,0,1,-0.528397527,-0.746889412,0.095150063,1,,,,,,0,1,0,0
M,W,0.422565241,0.3147682,MW,1034,W,0,0,-0.605851478,-0.747315234,0.094724241,0,,,,,,1,0,0,0
M,W,0.4333423,0.314201577,MW,1712,W,0,0,-0.595074419,-0.747881857,0.094157618,0,,,,,,1,0,0,0
F,W,-0.657062978,-0.641050773,FW,1331,W,0,0,-0.657062978,-0.748199007,-0.748199007,0,,,,,,0,0,1,0
M,W,0.41576549,0.313446043,MW,139,W,0,0,-0.612651229,-0.748637391,0.093402084,1,,,,,,1,0,0,0
M,W,0.093352309,0.311284202,MW,830,W,0,0,-0.93506441,-0.750799233,0.091240242,0,,,,,,1,0,0,0
M,W,0.474478128,0.310366897,MW,1057,W,0,0,-0.55393859,-0.751716537,0.090322938,0,,,,,,1,0,0,0
F,B,-0.936182259,-0.752181724,FB,833,B,0,1,-0.936182259,-0.752181724,-0.752181724,0,,,,,,0,0,0,1
M,W,0.429291285,0.309671907,MW,1787,W,0,0,-0.599125434,-0.752411527,0.089627948,0,,,,,,1,0,0,0
M,W,0.352131669,0.309629019,MW,1749,W,0,0,-0.67628505,-0.752454415,0.08958506,0,,,,,,1,0,0,0
F,B,-0.780009221,-0.753626183,FB,889,B,0,1,-0.780009221,-0.753626183,-0.753626183,0,,,,,,0,0,0,1
F,W,-1.07384926,-0.647420751,FW,1459,W,0,0,-1.07384926,-0.754568985,-0.754568985,0,,,,,,0,0,1,0
M,W,0.510751311,0.306930232,MW,1259,W,0,0,-0.517665408,-0.755153202,0.086886273,0,,,,,,1,0,0,0
F,W,-0.503113369,-0.648420861,FW,1538,W,0,0,-0.503113369,-0.755569095,-0.755569095,0,,,,,,0,0,1,0
M,B,0.358446848,0.229986348,MB,696,B,0,1,-0.669969871,-0.756477866,0.085561609,0,,,,,,0,1,0,0
M,B,0.442335091,0.228777445,MB,498,B,0,1,-0.586081628,-0.75768677,0.084352705,0,,,,,,0,1,0,0
F,B,-0.595222936,-0.757942314,FB,930,B,0,1,-0.595222936,-0.757942314,-0.757942314,0,,,,,,0,0,0,1
M,W,0.327069086,0.303979087,MW,318,W,0,0,-0.701347633,-0.758104347,0.083935128,0,,,,,,1,0,0,0
M,W,0.492201916,0.303875584,MW,304,W,0,0,-0.536214803,-0.75820785,0.083831625,0,,,,,,1,0,0,0
M,W,0.392963233,0.303579694,MW,1524,W,0,0,-0.635453486,-0.75850374,0.083535735,0,,,,,,1,0,0,0
M,W,0.177688437,0.301885189,MW,962,W,0,0,-0.850728282,-0.760198245,0.08184123,0,,,,,,1,0,0,0
F,B,-0.982465508,-0.760960611,FB,83,B,0,1,-0.982465508,-0.760960611,-0.760960611,1,,,,,,0,0,0,1
F,W,-0.988709855,-0.654319446,FW,1257,W,0,0,-0.988709855,-0.761467681,-0.761467681,0,,,,,,0,0,1,0
F,B,-0.975520904,-0.763118588,FB,1491,B,0,1,-0.975520904,-0.763118588,-0.763118588,0,,,,,,0,0,0,1
M,W,0.270851941,0.298715781,MW,885,W,0,0,-0.757564778,-0.763367653,0.078671822,0,,,,,,1,0,0,0
M,W,0.358590023,0.295835499,MW,876,W,0,0,-0.669826696,-0.766247935,0.07579154,0,,,,,,1,0,0,0
F,W,-0.710864898,-0.660781691,FW,1807,W,0,0,-0.710864898,-0.767929925,-0.767929925,0,,,,,,0,0,1,0
M,W,0.290750517,0.293934478,MW,1600,W,0,0,-0.737666202,-0.768148956,0.073890519,0,,,,,,1,0,0,0
F,W,-0.992437627,-0.661613173,FW,610,W,0,0,-0.992437627,-0.768761407,-0.768761407,0,,,,,,0,0,1,0
M,B,0.420593715,0.216312969,MB,1922,B,0,1,-0.607823004,-0.770151245,0.07188823,0,,,,,,0,1,0,0
F,W,-0.735223445,-0.663896521,FW,1467,W,0,0,-0.735223445,-0.771044755,-0.771044755,0,,,,,,0,0,1,0
M,W,0.331913889,0.290342238,MW,774,W,0,0,-0.69650283,-0.771741197,0.070298278,0,,,,,,1,0,0,0
F,W,-0.685922795,-0.664723028,FW,838,W,0,0,-0.685922795,-0.771871262,-0.771871262,0,,,,,,0,0,1,0
F,W,-1.044979835,-0.665170894,FW,625,W,0,0,-1.044979835,-0.772319128,-0.772319128,0,,,,,,0,0,1,0
F,W,-0.599064197,-0.665419613,FW,93,W,0,0,-0.599064197,-0.772567847,-0.772567847,1,,,,,,0,0,1,0
M,B,0.43997029,0.213110526,MB,319,B,0,1,-0.588446429,-0.773353688,0.068685787,0,,,,,,0,1,0,0
M,B,0.471244324,0.211114906,MB,172,B,0,1,-0.557172395,-0.775349308,0.066690167,1,,,,,,0,1,0,0
M,B,0.363598168,0.210444152,MB,1130,B,0,1,-0.664818551,-0.776020063,0.066019412,0,,,,,,0,1,0,0
M,B,0.499105287,0.210417977,MB,1423,B,0,1,-0.529311432,-0.776046238,0.065993237,0,,,,,,0,1,0,0
M,W,0.257519458,0.285551068,MW,1108,W,0,0,-0.770897261,-0.776532366,0.065507109,0,,,,,,1,0,0,0
M,W,0.409245071,0.284892407,MW,1832,W,0,0,-0.619171648,-0.777191027,0.064848448,0,,,,,,1,0,0,0
M,W,0.419310722,0.283359736,MW,1020,W,0,0,-0.609105997,-0.778723699,0.063315776,0,,,,,,1,0,0,0
F,W,-0.587791992,-0.673766506,FW,299,W,0,0,-0.587791992,-0.78091474,-0.78091474,0,,,,,,0,0,1,0
F,W,-0.648674277,-0.675304067,FW,1739,W,0,0,-0.648674277,-0.782452301,-0.782452301,0,,,,,,0,0,1,0
F,W,-0.748563034,-0.676441305,FW,210,W,0,0,-0.748563034,-0.783589539,-0.783589539,0,,,,,,0,0,1,0
M,W,0.47844051,0.276565806,MW,651,W,0,0,-0.549976209,-0.785517628,0.056521847,0,,,,,,1,0,0,0
F,B,-0.701109665,-0.785989735,FB,832,B,0,1,-0.701109665,-0.785989735,-0.785989735,0,,,,,,0,0,0,1
M,B,0.334132433,0.200420283,MB,1575,B,0,1,-0.694284286,-0.786043931,0.055995544,0,,,,,,0,1,0,0
M,W,0.125169343,0.274516116,MW,1094,W,0,0,-0.903247376,-0.787567318,0.054472157,0,,,,,,1,0,0,0
M,W,0.310667507,0.273266527,MW,1773,W,0,0,-0.717749211,-0.788816907,0.053222568,0,,,,,,1,0,0,0
F,W,-0.60090582,-0.682686362,FW,1867,W,0,0,-0.60090582,-0.789834596,-0.789834596,0,,,,,,0,0,1,0
M,W,0.443568684,0.271510427,MW,1942,W,0,0,-0.584848035,-0.790573007,0.051466468,0,,,,,,1,0,0,0
M,W,0.311826367,0.271121771,MW,226,W,0,0,-0.716590352,-0.790961664,0.051077812,0,,,,,,1,0,0,0
M,W,0.074548607,0.271088068,MW,175,W,0,0,-0.953868112,-0.790995366,0.051044109,1,,,,,,1,0,0,0
F,B,-0.900004669,-0.791267828,FB,905,B,0,1,-0.900004669,-0.791267828,-0.791267828,0,,,,,,0,0,0,1
M,W,0.221115398,0.270030391,MW,141,W,0,0,-0.807301321,-0.792053043,0.049986432,1,,,,,,1,0,0,0
M,W,0.281959191,0.267769798,MW,1527,W,0,0,-0.746457528,-0.794313637,0.047725839,0,,,,,,1,0,0,0
M,B,0.366155659,0.189087896,MB,1952,B,0,1,-0.66226106,-0.797376319,0.044663157,0,,,,,,0,1,0,0
M,W,0.423154897,0.264224717,MW,978,W,0,0,-0.605261822,-0.797858717,0.044180758,0,,,,,,1,0,0,0
F,W,-0.750926839,-0.693062997,FW,1682,W,0,0,-0.750926839,-0.800211231,-0.800211231,0,,,,,,0,0,1,0
F,B,-0.745493206,-0.800221978,FB,1412,B,0,1,-0.745493206,-0.800221978,-0.800221978,0,,,,,,0,0,0,1
M,W,0.120113709,0.26134313,MW,406,W,0,0,-0.90830301,-0.800740305,0.04129917,0,,,,,,1,0,0,0
M,W,0.381514716,0.260576262,MW,1629,W,0,0,-0.646902003,-0.801507172,0.040532303,0,,,,,,1,0,0,0
M,B,0.173097421,0.184406813,MB,1155,B,0,1,-0.855319298,-0.802057402,0.039982074,0,,,,,,0,1,0,0
M,W,0.373558666,0.259817488,MW,507,W,0,0,-0.654858053,-0.802265947,0.039773529,0,,,,,,1,0,0,0
F,W,-0.906612744,-0.695716518,FW,1421,W,0,0,-0.906612744,-0.802864752,-0.802864752,0,,,,,,0,0,1,0
M,W,0.517299746,0.258973295,MW,1487,W,0,0,-0.511116973,-0.803110139,0.038929336,0,,,,,,1,0,0,0
M,W,0.280976828,0.258220076,MW,1568,W,0,0,-0.747439891,-0.803863358,0.038176117,0,,,,,,1,0,0,0
M,W,0.264235466,0.258129377,MW,1391,W,0,0,-0.764181253,-0.803954057,0.038085418,0,,,,,,1,0,0,0
M,W,0.396219724,0.257542315,MW,1356,W,0,0,-0.632196995,-0.804541119,0.037498356,0,,,,,,1,0,0,0
F,B,-0.707458967,-0.805590002,FB,1285,B,0,1,-0.707458967,-0.805590002,-0.805590002,0,,,,,,0,0,0,1
F,W,-0.762781872,-0.700530343,FW,241,W,0,0,-0.762781872,-0.807678577,-0.807678577,0,,,,,,0,0,1,0
F,W,-0.72805518,-0.700592471,FW,1911,W,0,0,-0.72805518,-0.807740705,-0.807740705,0,,,,,,0,0,1,0
M,W,0.591116286,0.251455096,MW,40,W,0,0,-0.437300433,-0.810628339,0.031411137,1,,,,,,1,0,0,0
M,W,0.225105951,0.251084963,MW,562,W,0,0,-0.803310768,-0.810998471,0.031041004,0,,,,,,1,0,0,0
M,B,0.377192932,0.173638878,MB,1173,B,0,1,-0.651223787,-0.812825336,0.029214139,0,,,,,,0,1,0,0
F,W,-0.899133842,-0.705873368,FW,1112,W,0,0,-0.899133842,-0.813021602,-0.813021602,0,,,,,,0,0,1,0
F,W,-0.896392752,-0.708149424,FW,1573,W,0,0,-0.896392752,-0.815297658,-0.815297658,0,,,,,,0,0,1,0
M,W,0.408326126,0.245395973,MW,1978,W,0,0,-0.620090593,-0.816687461,0.025352014,0,,,,,,1,0,0,0
M,W,0.677018956,0.243517631,MW,1632,W,0,0,-0.351397763,-0.818565804,0.023473672,0,,,,,,1,0,0,0
M,B,0.35961178,0.167676694,MB,120,B,0,1,-0.668804939,-0.81878752,0.023251955,1,,,,,,0,1,0,0
M,W,0.404048173,0.241607319,MW,152,W,0,0,-0.624368546,-0.820476115,0.02156336,1,,,,,,1,0,0,0
M,W,0.264134874,0.241383038,MW,1528,W,0,0,-0.764281845,-0.820700397,0.021339079,0,,,,,,1,0,0,0
F,W,-0.510576924,-0.713888502,FW,1537,W,0,0,-0.510576924,-0.821036736,-0.821036736,0,,,,,,0,0,1,0
M,B,0.393710347,0.164716513,MB,960,B,0,1,-0.634706372,-0.821747702,0.020291774,0,,,,,,0,1,0,0
M,B,0.276282607,0.164379383,MB,1587,B,0,1,-0.752134112,-0.822084831,0.019954644,0,,,,,,0,1,0,0
M,W,0.244700205,0.239628522,MW,619,W,0,0,-0.783716514,-0.822454912,0.019584563,0,,,,,,1,0,0,0
M,W,0.263313143,0.239405698,MW,256,W,0,0,-0.765103576,-0.822677736,0.019361739,0,,,,,,1,0,0,0
M,W,0.37758685,0.236801411,MW,821,W,0,0,-0.650829869,-0.825282023,0.016757452,0,,,,,,1,0,0,0
M,W,0.243195716,0.235448514,MW,1880,W,0,0,-0.785221003,-0.826634921,0.015404555,0,,,,,,1,0,0,0
F,W,-0.74282458,-0.720701167,FW,1281,W,0,0,-0.74282458,-0.827849401,-0.827849401,0,,,,,,0,0,1,0
M,B,0.390636733,0.158537984,MB,1474,B,0,1,-0.637779986,-0.827926231,0.014113244,0,,,,,,0,1,0,0
M,W,0.380046918,0.233738929,MW,583,W,0,0,-0.648369801,-0.828344505,0.01369497,0,,,,,,1,0,0,0
M,W,0.271972322,0.233013776,MW,621,W,0,0,-0.756444396,-0.829069659,0.012969817,0,,,,,,1,0,0,0
F,W,-0.65659289,-0.722849515,FW,1428,W,0,0,-0.65659289,-0.829997749,-0.829997749,0,,,,,,0,0,1,0
M,W,0.023990478,0.231692416,MW,1294,W,0,0,-1.004426241,-0.830391018,0.011648457,0,,,,,,1,0,0,0
M,W,0.319249548,0.231628211,MW,77,W,0,0,-0.709167171,-0.830455224,0.011584251,1,,,,,,1,0,0,0
M,W,0.328841179,0.231195873,MW,1048,W,0,0,-0.69957554,-0.830887562,0.011151914,0,,,,,,1,0,0,0
M,B,0.265143649,0.154918552,MB,1917,B,0,1,-0.76327307,-0.831545662,0.010493813,0,,,,,,0,1,0,0
M,W,0.260608689,0.228710807,MW,1213,W,0,0,-0.76780803,-0.833372627,0.008666848,0,,,,,,1,0,0,0
F,W,-0.460791024,-0.727586733,FW,1162,W,0,0,-0.460791024,-0.834734967,-0.834734967,0,,,,,,0,0,1,0
F,W,-0.672371558,-0.728839017,FW,145,W,0,0,-0.672371558,-0.835987251,-0.835987251,1,,,,,,0,0,1,0
M,B,0.293163907,0.148643813,MB,322,B,0,1,-0.735252812,-0.837820401,0.004219074,0,,,,,,0,1,0,0
F,B,-0.735717768,-0.838406312,FB,1612,B,0,1,-0.735717768,-0.838406312,-0.838406312,0,,,,,,0,0,0,1
M,W,0.107685922,0.223304928,MW,1049,W,0,0,-0.920730797,-0.838778506,0.003260969,0,,,,,,1,0,0,0
F,B,-0.684771341,-0.839372938,FB,961,B,0,1,-0.684771341,-0.839372938,-0.839372938,0,,,,,,0,0,0,1
F,W,-1.128808979,-0.734350834,FW,1849,W,0,0,-1.128808979,-0.841499068,-0.841499068,0,,,,,,0,0,1,0
F,W,-0.921871955,-0.736588773,FW,24,W,0,0,-0.921871955,-0.843737007,-0.843737007,1,,,,,,0,0,1,0
M,W,0.332843089,0.217204798,MW,31,W,0,0,-0.69557363,-0.844878636,-0.002839161,1,,,,,,1,0,0,0
M,B,0.197800184,0.141172569,MB,1599,B,0,1,-0.830616535,-0.845291646,-0.003252171,0,,,,,,0,1,0,0
M,W,0.378737902,0.214804017,MW,1127,W,0,0,-0.649678817,-0.847279418,-0.005239942,0,,,,,,1,0,0,0
M,B,0.369245561,0.137891441,MB,1875,B,0,1,-0.659171158,-0.848572773,-0.006533298,0,,,,,,0,1,0,0
M,W,0.230993157,0.212001269,MW,282,W,0,0,-0.797423562,-0.850082166,-0.00804269,0,,,,,,1,0,0,0
F,W,-0.739188554,-0.744742619,FW,277,W,0,0,-0.739188554,-0.851890853,-0.851890853,0,,,,,,0,0,1,0
M,W,0.201519022,0.209913746,MW,1843,W,0,0,-0.826897697,-0.852169689,-0.010130214,0,,,,,,1,0,0,0
M,B,0.068234605,0.130248097,MB,306,B,0,1,-0.960182114,-0.856216117,-0.014176642,0,,,,,,0,1,0,0
M,B,0.359515941,0.128526394,MB,102,B,0,1,-0.668900778,-0.85793782,-0.015898345,1,,,,,,0,1,0,0
